ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
3635,1.326,0.699,0.793,0.76,1.694,0.616,11
3636,-0.98,0.439,-2.321,0.569,-1.136,0.31,11
3637,-0.659,0.457,0.753,0.662,-1.225,0.311,11
3638,-0.519,0.456,-0.078,0.517,-0.808,0.325,11
3639,1.283,0.693,0.332,0.986,1.671,0.612,11
3640,0.129,0.486,-0.158,0.514,-0.177,0.357,11
3642,-0.388,0.468,-0.161,0.98,-1.363,0.312,11
3643,0.138,0.503,-0.49,0.477,-0.789,0.327,11
3644,-0.127,0.472,-0.095,0.496,-0.19,0.352,11
3646,-0.883,0.45,-0.67,0.456,-0.52,0.332,11
3647,0.33,0.496,-0.082,0.54,0.868,0.444,11
3650,-0.194,0.471,0.196,0.531,-0.328,0.344,11
3651,-0.407,0.458,-1.153,0.488,0.104,0.373,11
3653,0.654,0.551,-0.765,0.475,1.481,0.571,11
3654,-0.787,0.443,-0.064,0.551,-1.416,0.308,11
10193,-0.226,0.478,0.81,0.671,-0.534,0.34,11
3658,0.52,0.553,0.849,0.678,-1.114,0.309,11
3661,0.838,0.598,0.389,0.565,0.219,0.389,11
3662,0.922,0.612,0.934,0.693,0.396,0.414,11
3663,-0.038,0.466,0.869,0.681,0.776,0.45,11
3666,-1.794,0.453,-0.22,0.483,0.352,0.405,11
3667,0.901,0.608,0.93,0.692,0.323,0.392,11
3671,1.283,0.693,0.332,0.986,1.671,0.612,11
3673,0.223,0.492,-1.502,0.478,0.612,0.43,11
3674,-0.323,0.458,-0.05,0.98,0.056,0.355,11
3716,0.749,0.584,-0.443,0.477,0.067,0.371,14
3717,0.551,0.541,0.064,0.527,1.037,0.492,14
3718,0.881,0.605,0.264,0.534,0.397,0.404,14
3719,0.359,0.505,-1.412,0.501,0.964,0.469,14
3720,0.644,0.568,-0.252,0.481,-0.377,0.342,14
3722,-0.388,0.458,0.783,0.667,-0.961,0.318,14
3723,-0.918,0.444,0.017,0.538,-0.692,0.324,14
3724,0.798,0.591,0.908,0.688,-0.041,0.365,14
3725,-0.659,0.457,-1.596,0.517,-0.718,0.326,14
3726,-0.211,0.461,0.847,0.677,0.535,0.416,14
3727,0.273,0.513,-0.018,0.507,-0.23,0.35,14
3728,0.723,0.581,0.109,0.982,-0.147,0.345,14
3729,1.347,0.703,1.018,0.709,1.706,0.618,14
3730,0.503,0.862,0.911,0.691,0.732,0.459,14
3732,0.873,0.605,0.172,0.983,0.389,0.39,14
3733,0.485,0.516,-0.713,0.474,1.441,0.563,14
3735,-1.181,0.432,0.753,0.662,-0.02,0.367,14
3736,0.716,0.581,0.106,0.982,-0.173,0.35,14
3737,1.347,0.703,1.018,0.709,1.706,0.618,14
3738,-1.769,0.437,0.101,0.526,-1.235,0.316,14
3739,0.988,0.624,0.267,0.571,0.765,0.446,14
3740,-0.208,0.983,-1.01,0.473,-0.166,0.989,14
3741,0.318,0.517,0.031,0.525,-0.027,0.351,14
3742,-0.585,0.456,0.754,0.662,-1.388,0.314,14
3743,0.524,0.539,0.151,0.982,0.901,0.449,14
3744,-1.949,0.441,0.666,0.648,-0.963,0.316,14
3747,1.226,0.678,-0.297,0.481,1.64,0.605,14
3748,0.178,0.989,0.865,0.686,0.142,0.993,14
3750,0.473,0.515,0.164,0.982,1.195,0.519,14
3751,-1.25,0.446,-1.113,0.485,0.021,0.356,14
3754,-0.605,0.446,-0.03,0.554,-0.344,0.342,14
3755,-0.013,0.477,-0.745,0.48,0.588,0.427,14
3756,1.06,0.64,0.021,0.522,1.056,0.5,14
3757,-0.179,0.471,0.186,0.548,-0.239,0.337,14
3758,-0.046,0.476,-0.639,0.484,0.69,0.43,14
3759,-0.589,0.457,0.772,0.665,-0.807,0.32,14
3760,-0.013,0.481,0.832,0.675,-0.375,0.341,14
3761,0.178,0.989,0.865,0.686,0.142,0.993,14
3762,0.93,0.614,0.073,0.527,0.61,0.431,14
3763,1.304,0.693,0.564,0.601,1.682,0.613,14
3765,0.222,0.511,0.002,0.981,-0.483,0.335,14
3766,0.551,0.556,-0.621,0.456,-0.671,0.33,14
3767,1.347,0.703,1.018,0.709,1.706,0.618,14
3768,0.853,0.6,-0.15,0.501,0.387,0.404,14
3769,-0.083,0.474,0.665,0.7,0.199,0.384,14
3770,0.578,0.547,-1.299,0.499,1.45,0.566,14
3771,0.706,0.577,-0.401,0.471,-0.102,0.357,14
3772,-1.188,0.444,0.753,0.662,-0.02,0.364,14
3773,0.178,0.989,0.865,0.686,0.142,0.993,14
3776,1.223,0.673,0.994,0.704,1.352,0.544,14
3777,-0.445,0.455,-1.303,0.472,-0.41,0.341,14
3778,-0.225,0.47,0.006,0.52,-0.467,0.33,14
3779,-0.337,0.457,0.417,0.585,-0.128,0.356,14
3780,-0.024,0.985,-0.119,0.541,-0.02,0.99,14
3782,0.223,0.509,0.201,0.549,-0.521,0.329,14
3783,0.438,0.51,0.242,0.569,1.004,0.473,14
3785,-0.219,0.469,-0.496,0.477,-0.313,0.34,14
3786,0.821,0.595,-0.417,0.479,0.331,0.398,14
3787,1.071,0.641,0.394,0.582,1.011,0.488,14
3788,0.775,0.588,-0.37,0.511,0.149,0.381,14
3789,-0.02,0.481,-0.02,0.981,-0.229,0.346,14
