ff_id,SC9,SC9_SE,city
764,0.865,0.686,3
765,-1.535,0.479,3
767,0.865,0.686,3
769,-0.619,0.464,3
770,0.311,0.579,3
771,0.246,0.543,3
772,-0.861,0.465,3
773,-1.122,0.488,3
774,-0.815,0.472,3
776,-1.396,0.467,3
780,0.865,0.686,3
781,0.322,0.56,3
783,0.865,0.686,3
784,-0.579,0.509,3
785,0.865,0.686,3
787,0.448,0.593,3
789,-0.311,0.516,3
791,0.01,0.561,3
796,-0.752,0.513,3
798,-1.087,0.464,3
799,0.865,0.686,3
800,-0.393,0.467,3
802,0.047,0.541,3
803,-0.149,0.488,3
804,-0.33,0.497,3
805,-0.56,0.459,3
806,-1.604,0.482,3
807,-2.277,0.567,3
809,-0.579,0.509,3
810,0.246,0.543,3
811,0.448,0.593,3
812,0.246,0.543,3
813,0.865,0.686,3
814,-0.455,0.482,3
815,-0.159,0.538,3
816,0.865,0.686,3
820,-0.178,0.513,3
821,-1.1,0.465,3
822,-1.082,0.47,3
824,-1.512,0.509,3
826,-1.566,0.481,3
827,-0.649,0.478,3
828,-0.281,0.485,3
830,-0.87,0.483,3
831,0.322,0.56,3
833,-1.122,0.456,3
835,-0.358,0.493,3
838,-0.501,0.508,3
839,-0.107,0.51,3
840,0.448,0.593,3
841,0.865,0.686,3
842,-0.575,0.497,3
843,0.865,0.686,3
844,-0.562,0.479,3
845,0.865,0.686,3
846,0.054,0.525,3
847,-0.524,0.514,3
848,0.865,0.686,3
849,0.865,0.686,3
850,-1.087,0.464,3
851,-1.138,0.491,3
852,0.865,0.686,3
853,0.068,0.532,3
854,0.865,0.686,3
855,0.865,0.686,3
856,0.322,0.56,3
858,0.865,0.686,3
859,0.865,0.686,3
860,0.054,0.525,3
862,0.311,0.579,3
863,0.448,0.593,3
865,0.196,0.569,3
866,0.311,0.579,3
868,0.01,0.561,3
869,-0.53,0.479,3
870,0.865,0.686,3
871,-2,0.525,3
872,-0.501,0.508,3
873,-0.861,0.465,3
874,0.865,0.686,3
875,-0.483,0.498,3
876,0.01,0.561,3
880,-0.387,0.478,3
882,0.865,0.686,3
883,-1.31,0.468,3
885,0.322,0.56,3
888,-1.657,0.481,3
889,-0.358,0.509,3
890,0.01,0.561,3
10177,0.01,0.561,3
892,-1.888,0.515,3
896,-0.504,0.475,3
897,-0.941,0.486,3
898,0.865,0.686,3
899,0.865,0.686,3
900,-0.483,0.498,3
901,-0.433,0.511,3
903,0.068,0.532,3
904,0.448,0.593,3
906,-0.175,0.523,3
908,-0.956,0.457,3
910,0.865,0.686,3
911,-0.353,0.501,3
912,-0.077,0.525,3
913,0.448,0.593,3
914,-0.079,0.501,3
915,-0.053,0.519,3
917,0.214,0.536,3
919,0.246,0.543,3
922,0.865,0.686,3
923,0.311,0.579,3
924,0.865,0.686,3
925,-2.277,0.567,3
926,0.865,0.686,3
927,-2,0.525,3
928,0.865,0.686,3
929,-1.825,0.509,3
930,-0.358,0.493,3
932,0.047,0.541,3
933,0.865,0.686,3
934,0.865,0.686,3
935,-0.501,0.508,3
936,-0.028,0.509,3
937,0.214,0.536,3
938,-0.968,0.497,3
10184,0.448,0.593,3
940,0.865,0.686,3
941,-0.915,0.473,3
943,0.865,0.686,3
945,-0.924,0.521,3
946,-0.645,0.501,3
948,0.865,0.686,3
950,0.196,0.569,3
951,-0.641,0.458,3
952,-1.986,0.52,3
953,-1.906,0.505,3
954,0.865,0.686,3
956,-1.825,0.509,3
957,0.068,0.532,3
958,0.865,0.686,3
959,0.054,0.525,3
960,-0.29,0.526,3
961,-1.512,0.509,3
963,-2.277,0.567,3
964,0.865,0.686,3
965,0.068,0.532,3
967,-0.573,0.47,3
968,0.865,0.686,3
969,-1.464,0.559,3
970,0.865,0.686,3
972,0.448,0.593,3
973,-1.906,0.505,3
975,0.196,0.569,3
976,-0.56,0.459,3
977,0.865,0.686,3
978,-0.559,0.491,3
979,-0.012,0.523,3
981,-1.986,0.52,3
982,-1.087,0.47,3
984,0.865,0.686,3
985,-0.854,0.482,3
986,0.865,0.686,3
987,0.322,0.56,3
988,-1.906,0.505,3
989,0.865,0.686,3
990,0.311,0.579,3
991,0.068,0.532,3
992,-0.423,0.481,3
993,-0.525,0.472,3
994,-0.148,0.516,3
10019,0.246,0.543,4
998,0.865,0.686,4
10100,-1.604,0.482,4
10153,0.865,0.686,4
10023,0.865,0.686,4
10033,0.087,0.528,4
1003,-0.751,0.477,4
10107,0.865,0.686,4
10187,0.865,0.686,4
1008,-0.752,0.513,4
10014,0.865,0.686,4
10136,-0.209,0.491,4
10137,0.087,0.528,4
10018,0.865,0.686,4
1019,0.01,0.561,4
10148,0.196,0.569,4
1022,0.865,0.686,4
1025,0.865,0.686,4
10128,0.448,0.593,4
1027,0.865,0.686,4
1028,0.047,0.541,4
10115,-2.277,0.567,4
10021,0.196,0.569,4
10185,0.214,0.536,4
10013,0.448,0.593,4
10237,-2.277,0.567,4
1035,0.865,0.686,4
10047,-0.608,0.49,4
10064,0.865,0.686,4
1039,0.054,0.525,4
10015,0.448,0.593,4
1041,-0.077,0.525,4
10011,-1.369,0.486,4
10152,-0.483,0.498,4
10034,-0.077,0.525,4
1048,0.068,0.532,4
10050,-0.773,0.469,4
1051,-0.339,0.475,4
1053,-2.277,0.567,4
1054,-0.583,0.48,4
10089,0.068,0.532,4
1056,-0.373,0.483,4
10055,0.865,0.686,4
1058,0.068,0.532,4
1059,-0.178,0.513,4
10032,-1.425,0.493,4
10039,-0.767,0.457,4
1063,0.448,0.593,4
10012,-0.53,0.479,4
10063,0.865,0.686,4
10170,0.214,0.536,4
10084,0.448,0.593,4
10046,-0.971,0.476,4
10027,0.865,0.686,4
1071,-0.641,0.458,4
1072,-1.392,0.466,4
1074,-0.159,0.538,4
10009,0.865,0.686,4
10083,-0.557,0.499,4
10085,0.448,0.593,4
10077,-0.298,0.48,4
10004,-0.159,0.538,4
10104,0.865,0.686,4
10081,0.865,0.686,4
10054,0.865,0.686,4
10076,0.865,0.686,4
10036,-0.344,0.492,4
10078,-0.865,0.51,4
10088,-0.753,0.477,4
10030,-1.689,0.483,4
1091,-0.293,0.509,4
10005,-1.005,0.463,4
10114,-0.304,0.495,4
10090,-0.657,0.458,4
1099,-0.281,0.485,4
10164,-1.825,0.509,4
10048,-1.356,0.465,4
10190,0.01,0.561,4
1104,0.448,0.593,4
1105,-0.674,0.487,4
10010,-0.543,0.48,4
1108,-0.344,0.492,4
10201,0.087,0.528,4
1110,-1.107,0.484,4
1111,0.322,0.56,4
10154,-0.752,0.513,4
10003,-0.281,0.485,4
10075,0.311,0.579,4
10176,-1.002,0.465,4
10038,-0.296,0.504,4
10053,0.322,0.56,4
10116,0.865,0.686,4
1122,-0.003,0.515,4
10236,-1.551,0.517,4
10096,-1.777,0.511,4
10043,-2.277,0.567,4
1128,-0.741,0.503,4
10127,-0.765,0.486,4
10173,0.865,0.686,4
1133,0.865,0.686,4
1134,0.311,0.579,4
1135,-0.19,0.514,4
10210,0.865,0.686,4
10024,0.865,0.686,4
1139,0.196,0.569,4
10022,0.865,0.686,4
1143,-0.932,0.457,4
10026,0.865,0.686,4
10188,-1.263,0.471,4
1146,-0.395,0.5,4
1147,-0.716,0.458,4
1148,0.865,0.686,4
1149,0.01,0.561,4
10007,0.865,0.686,4
10079,-1.484,0.488,4
10159,-0.741,0.488,4
1155,-0.003,0.515,4
1156,0.448,0.593,4
10131,-0.723,0.48,4
10218,-0.028,0.509,4
10120,-0.29,0.526,4
1161,0.311,0.579,4
10125,0.448,0.593,4
1163,0.311,0.579,4
10008,0.865,0.686,4
10146,-0.178,0.513,4
1168,0.865,0.686,4
10130,0.322,0.56,4
10052,-1.996,0.609,4
1173,0.865,0.686,4
1175,-0.548,0.508,4
10141,-0.488,0.489,4
1179,-1.028,0.475,4
10095,0.176,0.549,4
10045,0.448,0.593,4
10037,0.01,0.561,4
1183,0.865,0.686,4
1184,-0.447,0.493,4
1185,0.01,0.561,4
10144,-0.321,0.49,4
1187,-0.395,0.5,4
1188,-0.164,0.565,4
10109,0.865,0.686,4
10183,-0.594,0.479,4
1191,0.311,0.579,4
1193,-0.159,0.538,4
1194,0.322,0.56,4
10031,0.865,0.686,4
10178,-0.741,0.503,4
10151,-0.748,0.457,4
10042,0.865,0.686,4
1199,-0.079,0.501,4
10117,0.047,0.541,4
10099,-0.39,0.482,4
1204,0.054,0.525,4
10020,-0.989,0.484,4
10069,0.009,0.606,4
10145,0.865,0.686,4
10066,0.865,0.686,4
10025,-0.003,0.515,4
10110,-0.077,0.525,4
10056,0.865,0.686,4
1213,0.214,0.536,4
1214,-0.073,0.518,4
10098,-1.72,0.49,4
10057,0.448,0.593,4
10006,0.087,0.528,4
1219,-0.19,0.514,4
10126,0.239,0.867,4
10073,0.865,0.686,4
10060,-0.755,0.477,4
10062,-1.017,0.493,4
10142,-1.312,0.497,4
1229,0.448,0.593,4
1230,-0.604,0.474,4
10065,-0.175,0.523,4
10061,-0.339,0.475,4
10103,0.196,0.569,4
1236,0.865,0.686,4
1237,-0.989,0.484,4
1238,0.196,0.569,4
10051,0.311,0.579,4
1240,-2,0.525,4
1244,-0.264,0.503,4
10213,0.322,0.56,4
10093,-0.003,0.515,4
10092,0.865,0.686,4
10149,0.246,0.543,4
10041,-0.82,0.484,4
10169,-0.198,0.507,4
1252,-0.751,0.477,4
10070,-0.562,0.479,4
1255,-0.358,0.493,4
1256,0.322,0.56,4
1257,0.865,0.686,4
1260,-0.101,0.495,4
1262,-0.164,0.507,4
10059,-0.826,0.479,4
1264,-0.48,0.481,4
1266,-0.159,0.538,4
10068,-1.081,0.481,4
1268,0.448,0.593,4
10058,-1.309,0.468,4
1271,-0.748,0.457,4
1272,0.865,0.686,4
1273,-0.501,0.508,4
