ff_id,SC15,SC15_SE
2415,0.417,0.55
2417,0.911,0.655
2419,-1.476,0.465
2420,0.226,0.519
2421,-1.45,0.448
2422,-0.415,0.48
2423,0.911,0.655
2425,0.911,0.655
2426,0.357,0.55
2427,0.911,0.655
2428,-0.465,0.472
2429,0.911,0.655
2430,-0.869,0.471
2431,-0.144,0.497
2433,0.911,0.655
2434,-0.56,0.473
2435,0.911,0.655
2436,0.911,0.655
2437,0.911,0.655
2438,-0.121,0.496
2440,0.226,0.519
2442,-0.816,0.468
2443,-0.753,0.464
2446,-0.207,0.485
2447,0.357,0.55
2448,0.911,0.655
2449,-0.774,0.471
2450,0.911,0.655
2451,-0.415,0.48
2452,0.911,0.655
2454,0.357,0.55
2455,0.911,0.655
2456,-0.798,0.47
2457,-2.135,0.47
2458,0.357,0.55
2459,-0.207,0.485
2460,0.911,0.655
2461,-0.062,0.491
2462,-0.774,0.471
2463,-1.967,0.473
2464,-0.298,0.483
2465,0.911,0.655
2466,-0.533,0.48
2469,-0.533,0.48
2471,-0.392,0.478
2472,0.226,0.519
2473,-0.121,0.496
2475,-0.144,0.497
2476,-0.563,0.469
2477,-0.533,0.48
2479,0.25,0.521
2480,-1.085,0.459
2482,0.911,0.655
2483,0.011,0.506
2485,0.357,0.55
2486,0.911,0.655
2487,0.911,0.655
2490,0.226,0.519
2491,0.226,0.519
2492,0.911,0.655
2493,0.911,0.655
2494,0.911,0.655
2495,0.417,0.55
2496,-1.037,0.46
2497,-0.144,0.497
2498,0.357,0.55
2499,-0.084,0.491
2500,0.911,0.655
2501,0.911,0.655
2502,0.911,0.655
2504,-0.207,0.485
2505,-2.342,0.496
2507,0.911,0.655
2508,0.357,0.55
2509,-0.144,0.497
2510,0.357,0.55
2511,-1.991,0.469
2512,-0.634,0.48
2513,-0.867,0.466
2516,-0.774,0.471
2517,0.911,0.655
2518,-1.776,0.454
2519,0.911,0.655
2520,0.911,0.655
2521,0.357,0.55
2522,-0.392,0.478
2523,0.911,0.655
2524,0.911,0.655
2525,-0.121,0.496
2526,0.357,0.55
2529,0.911,0.655
2530,-0.416,0.479
2531,0.25,0.521
2533,-0.774,0.471
2534,-0.11,0.492
2537,-0.144,0.497
2539,0.911,0.655
2540,-0.207,0.485
2541,0.911,0.655
2542,0.911,0.655
2543,-0.989,0.475
2544,0.357,0.55
2545,0.911,0.655
2546,-0.816,0.468
2548,-0.144,0.497
2549,-0.144,0.497
2550,-0.533,0.48
2551,0.226,0.519
2553,-0.533,0.48
2554,0.911,0.655
2556,0.226,0.519
2557,0.911,0.655
2558,-1.454,0.459
2559,-0.062,0.491
2560,0.911,0.655
2561,0.911,0.655
2562,-0.774,0.471
2563,0.417,0.55
2567,-0.842,0.468
2569,0.226,0.519
2570,0.357,0.55
2571,-0.121,0.496
2572,-1.021,0.462
2573,0.911,0.655
2574,0.911,0.655
2576,-0.207,0.485
2577,-1.55,0.459
2579,-0.181,0.494
2581,0.417,0.55
2582,-0.264,0.483
2583,0.911,0.655
2584,-0.774,0.471
2587,-2.656,0.542
2588,0.417,0.55
2590,0.226,0.519
2591,0.911,0.655
2592,0.011,0.506
2594,0.911,0.655
2595,-0.45,0.47
2597,0.911,0.655
2598,-0.415,0.48
2600,-0.774,0.471
2601,0.911,0.655
2605,0.011,0.506
2607,-0.144,0.497
2608,0.417,0.55
2609,-1.31,0.451
2611,-1.327,0.466
2612,0.911,0.655
2614,0.911,0.655
2615,0.011,0.506
2618,-0.121,0.496
2619,-0.798,0.47
2621,-1.058,0.458
2622,-0.867,0.466
2623,0.226,0.519
2625,0.911,0.655
2626,-1.461,0.447
2628,0.911,0.655
2629,0.357,0.55
2631,0.911,0.655
2632,0.357,0.55
2633,0.911,0.655
2634,-0.207,0.485
2635,0.226,0.519
2637,-0.774,0.471
2638,0.357,0.55
2640,-0.933,0.468
2641,0.911,0.655
2642,-0.144,0.497
2644,-0.011,0.511
2645,0.357,0.55
2646,0.25,0.521
2648,0.911,0.655
2649,0.911,0.655
2650,0.25,0.521
2651,0.911,0.655
2652,-1.085,0.459
2653,0.011,0.506
2654,0.25,0.521
2655,-1.75,0.458
2656,0.911,0.655
2657,-0.465,0.472
2659,-2.293,0.508
2660,0.911,0.655
2662,-1.329,0.467
2663,-1.021,0.462
2664,-0.774,0.471
2666,0.25,0.521
2667,-0.121,0.496
2668,0.911,0.655
2669,0.911,0.655
2670,0.911,0.655
2671,0.911,0.655
2673,-1.212,0.469
2674,0.911,0.655
2675,0.357,0.55
2676,0.357,0.55
2677,0.911,0.655
2678,-0.084,0.491
2679,0.911,0.655
2680,-1.212,0.469
