ff_id,SC15,SC15_SE,SC9,SC9_SE,Int15,Int15_SE,Ext15,Ext15_SE,Int9,Int9_SE,Ext9,Ext9_SE,city
1237,-0.075,0.477,-0.886,0.47,-1.123,0.535,0.514,0.371,-0.283,0.452,0.172,0.29,4
1238,-0.78,0.451,0.173,0.567,-0.065,0.352,-0.313,0.431,0.044,0.406,0.588,0.261,4
10051,0.262,0.511,0.322,0.583,-0.345,0.397,0.204,0.4,1.241,0.276,0.692,0.249,4
1240,-0.153,0.485,-2.094,0.518,1.598,0.306,1.264,0.297,1.011,0.299,1.603,0.204,4
1242,-1.415,0.458,-0.333,0.982,1.355,0.308,1.21,0.318,0.291,0.985,0.397,0.962,4
1244,0.726,0.601,-0.206,0.499,0.376,0.313,0.396,0.379,0.307,0.368,-0.172,0.323,4
10213,0.053,0.978,0.319,0.565,-0.02,0.984,-0.017,0.958,0.059,0.401,0.041,0.307,4
10093,-0.568,0.465,-0.037,0.509,0.877,0.299,0.012,0.417,-0.053,0.421,0.22,0.282,4
10092,0.416,0.523,0.886,0.696,-1.282,0.564,-0.227,0.388,-0.223,0.418,-0.206,0.331,4
10149,0.204,0.507,0.191,0.535,-0.117,0.378,0.588,0.35,0.329,0.362,0.896,0.234,4
10041,0.699,0.597,-0.723,0.472,0.128,0.326,0.491,0.376,1.644,0.258,0.973,0.235,4
10169,-0.685,0.456,-0.185,0.502,-0.645,0.442,-0.478,0.421,-0.053,0.982,-0.038,0.959,4
1252,1.294,0.713,-0.583,0.471,-1.848,0.677,-2.324,0.628,-1.364,0.67,-1.605,0.635,4
10070,0.338,0.536,-0.47,0.473,0.678,0.319,-0.882,0.463,0.207,0.379,-0.555,0.374,4
1255,0.537,0.574,-0.362,0.484,1.313,0.31,0.813,0.342,0.032,0.414,0.654,0.249,4
1256,0.38,0.54,0.339,0.564,0.167,0.325,-0.157,0.411,-0.359,0.463,0.041,0.295,4
1257,0.902,0.634,0.793,0.68,-1.158,0.541,1.25,0.304,0.744,0.321,1.796,0.2,4
1260,-0.601,0.457,-0.257,0.467,0.522,0.301,0.953,0.324,0.717,0.318,0.78,0.235,4
1261,-0.397,0.469,-0.039,0.982,-0.956,0.498,-0.278,0.44,-0.12,0.987,-0.011,0.966,4
1262,-0.432,0.466,-0.141,0.502,-0.335,0.392,-0.552,0.447,-1.027,0.579,-0.861,0.451,4
10059,-0.759,0.454,-0.794,0.458,1.056,0.302,-0.571,0.421,-0.334,0.464,-0.833,0.437,4
1264,-1.251,0.445,-0.71,0.454,0.669,0.305,1.193,0.276,0.448,0.358,1.12,0.227,4
1266,0.619,0.585,-0.127,0.532,0.869,0.314,0.735,0.358,0.417,0.358,0.61,0.254,4
10068,-0.125,0.481,-0.953,0.467,-0.587,0.43,0.384,0.371,-0.895,0.545,-0.333,0.35,4
1268,-0.723,0.455,0.482,0.604,-0.037,0.339,0.312,0.385,-1.373,0.65,-1.324,0.57,4
10058,-0.247,0.467,-1.308,0.447,0.028,0.356,0.597,0.36,0.518,0.344,0.873,0.24,4
1271,-1.178,0.458,-0.866,0.438,1.352,0.307,0.957,0.318,0.898,0.3,0.653,0.242,4
1272,0.138,0.98,0.826,0.69,-0.079,0.985,-0.013,0.958,0.002,0.407,0.096,0.299,4
1273,-0.106,0.474,-0.475,0.497,-1.138,0.539,-0.674,0.449,0.939,0.299,-0.372,0.358,4
1274,0.008,0.985,0.04,0.527,-0.005,0.995,-0.004,0.996,-0.005,0.994,-0.007,0.99,4
10168,-2.014,0.456,0.625,0.651,0.312,0.309,0.856,0.326,0.577,0.329,0.402,0.265,4
1276,-0.009,0.49,0.77,0.675,1.654,0.305,0.997,0.335,-0.146,0.446,0.469,0.26,4
10035,-0.525,0.46,-1.381,0.465,0.329,0.32,0.369,0.389,-0.325,0.463,0.756,0.231,4
1278,0.335,0.536,-0.815,0.443,-0.497,0.397,1.004,0.279,1.025,0.29,0.55,0.251,4
10172,0.633,0.551,0.292,0.542,-1.697,0.644,-2.198,0.608,-0.398,0.477,-0.677,0.404,4
